User_ID,Movie_ID,Movie_Title,Genre,Rating,Rating_Count,Release_Year
101,M001,The Matrix,Action,5,1250,1999
101,M002,Titanic,Romance,4,980,1997
101,M003,Inception,Sci-Fi,5,1500,2010
102,M001,The Matrix,Action,4,1250,1999
102,M004,The Godfather,Crime,5,1100,1972
102,M005,Toy Story,Animation,3,900,1995
103,M002,Titanic,Romance,5,980,1997
103,M003,Inception,Sci-Fi,4,1500,2010
103,M006,Avatar,Sci-Fi,5,1300,2009
104,M001,The Matrix,Action,3,1250,1999
104,M005,Toy Story,Animation,4,900,1995
104,M006,Avatar,Sci-Fi,4,1300,2009
105,M003,Inception,Sci-Fi,5,1500,2010
105,M004,The Godfather,Crime,4,1100,1972
105,M007,Interstellar,Sci-Fi,5,1400,2014
106,M002,Titanic,Romance,4,980,1997
106,M006,Avatar,Sci-Fi,3,1300,2009
106,M007,Interstellar,Sci-Fi,5,1400,2014
107,M001,The Matrix,Action,5,1250,1999
107,M003,Inception,Sci-Fi,4,1500,2010
107,M005,Toy Story,Animation,5,900,1995
108,M004,The Godfather,Crime,5,1100,1972
108,M006,Avatar,Sci-Fi,4,1300,2009
108,M007,Interstellar,Sci-Fi,4,1400,2014
